buckfast 1.3.2                                                                                      ,

*HEADING,
Buckfast example - Pipeline A - Scenario 1                                                          ,

*SIMULATION,
number of simulations,              100000,

*WATER,
temperature of sea-water (°C),        4.0000000000,,
density of sea-water (kg.m-3),     1025.0000000000,,

*AXIALFRICTION,                   1,,
distribution,LOGNORMAL           ,,
mean,        0.5170000000,,
standard deviation,        0.1370000000,,

*SINGLE,                   1,,
diameter (mm),      273.1000000000,,
wall thickness (mm),       25.4000000000,,
density of steel (kg.m-3),     7850.0000000000,,
elastic modulus (N.mm-2),   207000.0000000000,,
Poisson's ratio,        0.3000000000,,
coefficient of thermal expansion (°C-1),        0.0000117000,,
thickness of coating (mm),      300.0000000000,                   1,
density of coating (kg.m-3),      990.5815642546,                   1,
density of contents during operation (kg.m-3),      799.9858676179,,
density of contents during installation (kg.m-3),        1.3136056940,,

length of pipeline (m),    20000.0000000000,,



number of simulations,              100000,
number of simulations with one or more buckles,              100000,
probability of one or more buckles,    0.1000000000E+01,
                    ,
                    ,mean,standard deviation,minimum,maximum,
number of buckles,    0.7195110000E+01,    0.1829781978E+01,                   2,                  19,

element,centroid of element,number of simulations with a buckle,probability of buckling,probability of not buckling,mean of the VAS,standard deviation of the VAS,minimum VAS,maximum VAS,
,(m),,,,(m),(m),(m),(m),
     6450.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2450079628E-04,    0.0000000000E+00,    0.2456640299E-04,    0.2464997042E-04,    0.7376444554E-04,    0.2456036939E-04,    0.4906169508E-04,    0.4937174455E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2468099810E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     6500.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2456640299E-04,    0.0000000000E+00,    0.0000000000E+00,    0.4912073878E-04,    0.2453084754E-04,    0.2468587228E-04,    0.2456459260E-04,    0.2459722051E-04,    0.2463721698E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     6550.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.4913280597E-04,    0.2464997042E-04,    0.0000000000E+00,    0.2456036939E-04,    0.2453084754E-04,    0.2468587228E-04,    0.2456459260E-04,    0.0000000000E+00,    0.2463721698E-04,    0.0000000000E+00,    0.2468099810E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     6600.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2464997042E-04,    0.2458814851E-04,    0.0000000000E+00,    0.0000000000E+00,    0.7405761683E-04,    0.2456459260E-04,    0.2459722051E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     6650.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2468465355E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2456036939E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2459722051E-04,    0.2463721698E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     6700.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2453084754E-04,    0.0000000000E+00,    0.0000000000E+00,    0.2459722051E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     6750.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2464997042E-04,    0.0000000000E+00,    0.0000000000E+00,    0.2453084754E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2444509631E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     6800.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.4927443396E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     6850.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.4912073878E-04,    0.0000000000E+00,    0.2468587228E-04,    0.0000000000E+00,    0.2459722051E-04,    0.4927443396E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     6900.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2458814851E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     6950.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2459722051E-04,    0.2463721698E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7050.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2453084754E-04,    0.0000000000E+00,    0.2456459260E-04,    0.2459722051E-04,    0.4927443396E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7100.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2453084754E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7150.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2456459260E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7200.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2458814851E-04,    0.0000000000E+00,    0.0000000000E+00,    0.2468587228E-04,    0.0000000000E+00,    0.2459722051E-04,    0.2463721698E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7250.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2464997042E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2463721698E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7300.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2464997042E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7350.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2464997042E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7400.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2459722051E-04,    0.2463721698E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7450.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7500.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2459722051E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7550.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2468465355E-04,    0.0000000000E+00,    0.2464997042E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7600.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.4912918519E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2468099810E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7650.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7700.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7750.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7800.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2456459260E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7850.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2468587228E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7900.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     7950.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2458814851E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8050.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8100.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8150.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8200.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8250.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8300.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8350.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8400.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8450.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8500.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8550.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8600.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8650.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8700.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8750.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8800.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8850.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8900.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     8950.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9050.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9100.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9150.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9200.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9250.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9300.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
